Year,Policy_ID,Customer_Age,Gender,Region,Vehicle_Type,Vehicle_Age,Vehicle_Value_KES,Vehicle_Engine_Capacity,Use_Purpose,Annual_Premium_KES,Claims_Frequency,Total_Claim_Amount_KES,No_Claim_Bonus_%,Accident_Cause,Policy_Term_Months,Previous_Claims_Count,Driver_Experience_Years,Third_Party_Only
2023,P202300024,30,Male,Nakuru,Private,16,2241093,3000,Personal,73189,0,0,30,None,12,0,10,Yes
2023,P202300025,67,Female,Nairobi,Commercial,15,2204104,2500,Personal,83475,0,0,20,None,12,0,47,Yes
2023,P202300026,39,Female,Kakamega,PSV,3,1910681,2000,Business,76422,1,114800,0,Speeding,12,1,20,Yes
2023,P202300027,59,Male,Meru,Private,0,1556731,1000,Business,104456,0,0,10,None,12,2,38,Yes
2023,P202300028,35,Female,Thika,Private,15,2704664,2500,Business,182860,0,0,10,None,6,0,14,Yes
2023,P202300029,24,Female,Thika,Commercial,4,2041082,1000,Personal,127869,0,0,50,None,6,0,4,No
2023,P202300030,39,Male,Eldoret,Motorcycle,0,62183,2500,Personal,2387,0,0,20,None,6,0,18,No
2023,P202300031,54,Female,Eldoret,Private,15,2285954,1000,Business,93817,0,0,50,None,6,0,35,No
2023,P202300032,21,Male,Kakamega,Private,2,1860828,1000,Business,84661,0,0,20,None,6,0,1,Yes
2023,P202300033,67,Male,Eldoret,Commercial,19,928391,2000,Personal,61120,0,0,10,None,6,0,46,Yes
2023,P202300034,41,Male,Kakamega,Private,13,616381,3000,Personal,37677,0,0,50,None,12,1,19,No
2023,P202300035,49,Female,Nakuru,Commercial,0,3943963,1000,Business,176367,0,0,10,None,12,0,29,Yes
2023,P202300036,23,Male,Kisumu,Private,2,2015536,2500,Business,134139,3,23600,0,Theft,6,1,1,No
2023,P202300037,50,Female,Thika,Commercial,2,2226388,1000,Personal,106709,0,0,10,None,6,0,32,Yes
2023,P202300038,61,Female,Thika,Motorcycle,2,232957,1500,Taxi,15571,0,0,30,None,12,1,41,No
2023,P202300039,61,Female,Eldoret,PSV,1,2224665,1000,Personal,137485,1,947700,0,Speeding,12,0,42,Yes
2023,P202300040,45,Female,Nakuru,PSV,2,2492785,1000,Business,159373,0,0,30,None,6,0,27,Yes
2023,P202300041,55,Male,Nakuru,Private,12,2861664,2500,Personal,189730,1,996000,0,Theft,6,0,35,No
2023,P202300042,44,Female,Kisumu,Commercial,16,1825715,1500,Personal,85279,1,143600,0,Speeding,12,0,22,Yes
2023,P202300043,63,Female,Kakamega,Private,11,1504646,2500,Business,83771,1,374300,0,Theft,12,0,42,No
2023,P202300044,35,Female,Kisumu,Private,12,722866,1000,Personal,26329,0,0,10,None,6,0,16,Yes
2023,P202300045,45,Male,Eldoret,Private,4,683062,1000,Taxi,35883,1,375500,0,Weather,12,0,27,No
2023,P202300046,59,Male,Kisumu,Commercial,12,3535988,1000,Personal,185274,2,1299800,0,Weather,12,0,38,No
2023,P202300047,45,Male,Kakamega,Commercial,15,2704050,3000,Taxi,184774,0,0,20,None,6,0,24,No
2023,P202300048,24,Female,Thika,Private,14,578781,2500,Business,32289,0,0,50,None,6,0,5,No
2023,P202300049,67,Male,Meru,Private,6,2004544,3000,Business,137823,0,0,10,None,12,0,45,Yes
2023,P202300050,55,Male,Kisumu,Private,1,1150419,1500,Business,39904,0,0,10,None,6,0,37,No
2023,P202300051,24,Female,Meru,Private,12,1600567,1500,Personal,69051,0,0,30,None,6,0,4,Yes
2023,P202300052,39,Male,Mombasa,Private,11,2538449,2000,Business,123914,0,0,10,None,12,0,19,Yes
2023,P202300053,62,Male,Kisumu,Commercial,4,4835851,2000,Personal,174591,1,603700,0,Speeding,6,0,41,No
2023,P202300054,50,Male,Nairobi,Commercial,13,3564673,3000,Personal,215677,0,0,30,None,12,0,32,No
2023,P202300055,45,Female,Kisumu,Motorcycle,7,138668,1500,Business,7012,1,25400,0,Theft,6,0,26,Yes
2023,P202300056,69,Male,Kakamega,PSV,12,1535626,3000,Personal,77941,0,0,20,None,6,0,47,No
2023,P202300057,55,Male,Thika,Commercial,9,3440328,2000,Personal,232355,1,771100,0,Weather,12,1,33,Yes
2023,P202300058,31,Female,Kisumu,Private,16,1175510,3000,Business,45917,1,269500,0,Theft,12,0,10,Yes
2023,P202300059,67,Female,Thika,PSV,12,1066234,2000,Taxi,63116,0,0,50,None,6,0,49,No
2023,P202300060,38,Male,Meru,Private,11,2273832,2500,Personal,130226,2,863900,0,Collision,12,0,18,Yes
2023,P202300061,31,Male,Kakamega,PSV,19,3763642,3000,Business,140176,1,1784200,0,Theft,12,0,12,No
2023,P202300062,58,Female,Mombasa,Private,13,1389465,3000,Business,75247,1,589900,0,Speeding,12,1,39,No
2023,P202300063,63,Female,Mombasa,PSV,16,3305276,3000,Personal,154073,0,0,30,None,6,0,43,No
2023,P202300064,21,Male,Eldoret,PSV,4,3709532,3000,Taxi,112254,0,0,50,None,12,0,1,Yes
2023,P202300065,20,Female,Thika,PSV,19,2533584,1000,Personal,92888,0,0,50,None,6,0,1,Yes
2023,P202300066,50,Female,Thika,Commercial,18,826790,2000,Personal,53275,0,0,20,None,12,0,30,Yes
2023,P202300067,64,Female,Meru,PSV,12,1790141,1500,Business,88744,1,884600,0,Speeding,12,1,43,Yes
2023,P202300068,68,Male,Meru,Private,0,1925541,1500,Personal,58240,0,0,10,None,12,1,46,No
2023,P202300069,35,Female,Nakuru,PSV,10,1731899,3000,Business,91344,0,0,20,None,12,0,17,Yes
2023,P202300070,37,Female,Nakuru,Private,14,2614792,1000,Business,110180,1,986400,0,Collision,12,0,19,No
2023,P202300071,30,Female,Meru,Private,11,1428479,2500,Personal,68963,0,0,20,None,6,0,11,No
2023,P202300072,47,Male,Thika,Commercial,3,4269401,1500,Personal,254927,0,0,30,None,6,0,25,Yes
2023,P202300073,60,Male,Mombasa,PSV,3,1497562,1000,Taxi,75521,0,0,10,None,12,0,38,Yes
2023,P202300074,47,Female,Kisumu,Motorcycle,15,132844,3000,Personal,9065,3,50800,0,Speeding,12,0,28,No
2023,P202300075,64,Female,Meru,Private,4,1025303,1000,Taxi,42530,1,606200,0,Speeding,12,0,45,No
2023,P202300076,44,Male,Meru,Commercial,16,2681548,1000,Personal,92194,0,0,30,None,6,0,26,Yes
2023,P202300077,40,Female,Nakuru,Private,15,1203286,2500,Personal,65241,3,556300,0,Weather,6,2,22,Yes
2023,P202300078,65,Female,Nairobi,Commercial,0,4777266,3000,Personal,171417,0,0,30,None,12,0,47,Yes
2023,P202300079,59,Male,Meru,Commercial,1,3981915,1500,Personal,246213,0,0,20,None,6,0,39,No
2023,P202300080,69,Male,Meru,Private,11,1140053,2500,Business,64620,0,0,50,None,12,1,47,No
2023,P202300081,40,Male,Nakuru,Commercial,13,4900673,2000,Personal,263712,0,0,30,None,12,0,19,No
2023,P202300082,53,Male,Thika,Private,5,817537,1500,Personal,25664,0,0,20,None,6,0,34,No
2023,P202300083,57,Male,Meru,Commercial,0,2732247,2500,Personal,112775,0,0,10,None,12,0,39,No
2023,P202300084,24,Male,Kisumu,Commercial,3,2356617,1000,Business,160398,0,0,30,None,12,0,2,Yes
2023,P202300085,53,Male,Eldoret,Commercial,5,2649396,1500,Personal,180396,0,0,30,None,12,0,33,Yes
2023,P202300086,66,Female,Kakamega,Private,15,2799998,2000,Personal,128081,0,0,20,None,12,0,45,Yes
2023,P202300087,44,Female,Mombasa,Motorcycle,2,151570,2000,Personal,10562,0,0,30,None,6,0,25,No
2023,P202300088,38,Male,Eldoret,Private,4,2029297,2500,Business,85955,0,0,50,None,12,0,20,No
2023,P202300089,24,Female,Nakuru,Private,8,2745131,1500,Personal,161342,1,547000,0,Weather,6,0,5,No
2023,P202300090,66,Female,Nairobi,PSV,14,3283869,2000,Personal,142363,1,549200,0,Speeding,12,1,44,Yes
2023,P202300091,34,Male,Nakuru,Private,14,2024350,1500,Business,94197,1,876500,0,Weather,12,0,14,No
2023,P202300092,26,Female,Nairobi,Private,2,1353499,3000,Personal,52892,1,325600,0,Collision,12,0,4,Yes
2023,P202300093,47,Female,Nakuru,Private,9,2598214,1000,Business,142415,1,836900,0,Weather,6,0,25,No
2023,P202300094,39,Female,Eldoret,Commercial,3,1267010,1000,Personal,81603,0,0,20,None,12,0,20,Yes
2023,P202300095,66,Male,Meru,PSV,7,3568103,1000,Business,118939,0,0,20,None,6,0,44,No
2023,P202300096,25,Female,Mombasa,Private,19,2258489,1500,Personal,134978,0,0,50,None,6,0,3,No
2023,P202300097,52,Male,Kisumu,Private,5,1025893,2500,Personal,31669,1,497000,0,Speeding,12,0,34,Yes
2023,P202300098,22,Female,Mombasa,Motorcycle,18,54324,2500,Personal,2185,2,30300,0,Collision,6,0,4,Yes
2023,P202300099,49,Male,Meru,Private,5,2857821,1000,Business,157817,1,819900,0,Theft,6,1,30,No
2023,P202300100,23,Male,Thika,Commercial,18,2037715,1000,Business,101801,1,866100,0,Speeding,12,1,3,No
2023,P202300101,55,Male,Kakamega,Private,12,2058506,2000,Personal,112431,0,0,20,None,12,0,36,No
2023,P202300102,24,Male,Thika,Private,9,2899105,3000,Personal,90051,1,245800,0,Speeding,6,0,6,No
2023,P202300103,30,Female,Meru,Commercial,14,4549783,2000,Personal,212747,0,0,20,None,6,3,10,No
2023,P202300104,28,Female,Mombasa,Commercial,1,2184418,2000,Personal,128377,1,67800,0,Speeding,6,1,6,Yes
2023,P202300105,33,Female,Meru,Private,2,1373172,3000,Personal,94965,1,433300,0,Collision,6,0,11,Yes
2023,P202300106,61,Male,Mombasa,Commercial,17,1629735,2000,Business,49112,0,0,20,None,12,0,43,Yes
2023,P202300107,44,Female,Kisumu,Private,16,1189376,1500,Personal,38354,0,0,30,None,6,1,24,No
2023,P202300108,25,Female,Nairobi,Private,5,845266,1500,Business,51309,0,0,20,None,6,1,4,Yes
2023,P202300109,49,Female,Meru,Private,6,2695875,3000,Taxi,185114,0,0,10,None,12,0,27,No
2023,P202300110,46,Male,Eldoret,Commercial,0,2214397,2500,Personal,119924,0,0,10,None,6,1,28,No
2023,P202300111,57,Female,Mombasa,Private,12,1703358,2500,Taxi,87586,0,0,30,None,6,0,35,Yes
2023,P202300112,27,Female,Meru,PSV,4,1126108,2500,Personal,71547,1,435000,0,Speeding,6,0,6,Yes
2023,P202300113,45,Female,Eldoret,Commercial,10,3492755,2000,Personal,127017,1,480300,0,Theft,12,0,26,Yes
2023,P202300114,65,Female,Nairobi,Private,10,633515,1500,Personal,43105,0,0,10,None,6,0,47,Yes
2023,P202300115,52,Male,Kisumu,Motorcycle,14,141751,2500,Personal,5338,0,0,20,None,12,0,31,Yes
2023,P202300116,24,Male,Thika,Private,4,1390695,1500,Personal,41843,1,62200,0,Weather,6,0,6,Yes
2023,P202300117,41,Male,Thika,Motorcycle,10,194790,1000,Personal,9629,0,0,50,None,6,2,23,Yes
2023,P202300118,20,Female,Mombasa,Commercial,18,2829454,3000,Business,128681,0,0,30,None,12,1,2,Yes
2023,P202300119,45,Female,Nairobi,Motorcycle,8,90738,2500,Personal,3433,0,0,50,None,6,1,26,Yes
2023,P202300120,46,Female,Thika,Private,1,2587258,1000,Business,130135,0,0,20,None,12,0,26,No
2023,P202300121,43,Male,Mombasa,Commercial,6,4908997,3000,Business,164183,1,1712200,0,Collision,6,0,22,No
2023,P202300122,69,Female,Nakuru,PSV,16,2295302,1000,Business,119619,1,573900,0,Theft,6,0,47,Yes
2023,P202300123,59,Male,Mombasa,Commercial,16,4097606,1000,Personal,214641,0,0,30,None,12,0,39,No
2023,P202300124,38,Male,Thika,Private,16,2290380,3000,Business,142769,0,0,30,None,12,0,19,Yes
2023,P202300125,20,Male,Nairobi,PSV,13,1824690,1500,Personal,72538,0,0,10,None,6,0,1,Yes
2023,P202300126,49,Female,Kakamega,Private,5,2400163,1000,Taxi,105572,0,0,10,None,12,0,29,No
2023,P202300127,51,Male,Thika,PSV,9,2017289,2000,Personal,132538,0,0,30,None,6,0,30,No
2023,P202300128,51,Male,Nakuru,PSV,17,2256182,2000,Personal,68035,0,0,20,None,6,0,29,Yes
2023,P202300129,27,Female,Meru,Private,14,962052,2000,Personal,41550,1,417500,0,Theft,12,2,7,Yes
2023,P202300130,35,Female,Meru,Private,3,816915,3000,Taxi,40092,0,0,50,None,6,0,16,Yes
2023,P202300131,26,Male,Mombasa,Private,9,2851878,1000,Personal,199494,0,0,50,None,6,0,4,Yes
2023,P202300132,38,Male,Thika,Private,3,1992252,2500,Personal,111017,1,748700,0,Speeding,12,0,19,Yes
2023,P202300133,22,Male,Nairobi,Private,11,2975539,3000,Business,159572,0,0,50,None,6,1,1,Yes
2023,P202300134,63,Female,Mombasa,PSV,2,1906739,1500,Personal,71954,1,994200,0,Collision,6,0,45,Yes
2023,P202300135,69,Female,Nakuru,Commercial,18,3973584,1000,Business,224823,0,0,30,None,6,0,51,Yes
2023,P202300136,41,Female,Nakuru,Commercial,10,916739,1500,Personal,51488,0,0,10,None,6,0,19,Yes
2023,P202300137,30,Male,Kakamega,Private,5,1514929,3000,Personal,81921,1,65700,0,Speeding,6,0,11,Yes
2023,P202300138,31,Male,Kakamega,Private,9,2089589,3000,Personal,113360,0,0,30,None,6,0,11,Yes
2023,P202300139,59,Female,Meru,Commercial,1,4697611,3000,Business,291079,0,0,50,None,12,0,37,Yes
2023,P202300140,36,Female,Nakuru,Private,13,890719,1500,Personal,47359,0,0,20,None,12,0,16,No
2023,P202300141,55,Male,Nairobi,Private,18,1496121,3000,Personal,47245,0,0,20,None,12,0,34,Yes
2023,P202300142,68,Male,Thika,Private,6,728071,2000,Business,43650,1,417000,0,Collision,12,0,50,Yes
2023,P202300143,55,Female,Kakamega,Private,14,2842035,2000,Personal,131172,0,0,10,None,6,0,35,No
2023,P202300144,64,Male,Nairobi,PSV,10,2114593,1000,Taxi,99923,1,100000,0,Speeding,12,0,46,Yes
2023,P202300145,62,Female,Thika,Private,7,1603913,1000,Personal,92021,0,0,30,None,6,1,41,Yes
2023,P202300146,49,Female,Eldoret,Private,5,2161793,2500,Personal,135636,0,0,10,None,12,0,29,No
2023,P202300147,68,Male,Mombasa,PSV,16,1180553,1000,Personal,62648,0,0,10,None,12,0,48,Yes
2023,P202300148,27,Male,Nakuru,Private,16,2992118,3000,Business,92197,1,452000,0,Weather,6,0,7,Yes
2023,P202300149,45,Male,Mombasa,Private,8,2064718,1500,Business,144012,0,0,20,None,6,1,26,No
2023,P202300150,26,Male,Thika,PSV,13,2741134,3000,Taxi,94468,1,194000,0,Theft,6,0,4,No
2023,P202300151,37,Male,Nairobi,Private,19,781570,1500,Business,37704,0,0,30,None,12,0,17,No
2023,P202300152,63,Female,Mombasa,PSV,12,1999554,3000,Personal,75822,0,0,10,None,12,0,42,Yes
2023,P202300153,58,Female,Mombasa,PSV,14,2142647,1000,Personal,100423,0,0,20,None,12,0,36,No
2023,P202300154,37,Male,Mombasa,Private,0,1511727,3000,Business,81677,0,0,50,None,12,0,17,Yes
2023,P202300155,61,Male,Eldoret,PSV,1,2020154,3000,Personal,91146,0,0,50,None,6,3,43,No
2023,P202300156,48,Male,Mombasa,Private,11,2872280,2500,Taxi,169802,2,729000,0,Speeding,6,0,30,No
2023,P202300157,22,Female,Mombasa,PSV,12,1558221,1500,Personal,70374,0,0,30,None,12,0,4,Yes
2023,P202300158,67,Male,Eldoret,PSV,0,1785332,1000,Personal,59892,0,0,10,None,6,0,46,No
2023,P202300159,31,Male,Thika,PSV,4,1911420,3000,Personal,112789,0,0,50,None,12,0,11,Yes
2023,P202300160,32,Female,Nairobi,Private,1,679352,2500,Personal,32363,0,0,10,None,6,0,10,Yes
2023,P202300161,64,Female,Kisumu,Private,13,1363561,2000,Business,92616,0,0,10,None,12,0,46,Yes
2023,P202300162,22,Female,Nakuru,Private,5,1468452,1000,Personal,84328,0,0,30,None,12,0,4,Yes
2023,P202300163,61,Male,Nakuru,Commercial,2,2629553,1500,Personal,151285,1,1288100,0,Collision,6,0,39,No
2023,P202300164,66,Male,Kakamega,Motorcycle,8,152979,3000,Taxi,5129,0,0,20,None,12,1,45,Yes
2023,P202300165,48,Female,Thika,Private,8,2352610,1000,Business,132163,1,467800,0,Weather,12,1,29,Yes
2023,P202300166,43,Male,Eldoret,Private,14,1356101,2000,Personal,40895,1,70500,0,Collision,12,0,21,Yes
2023,P202300167,47,Male,Meru,Private,4,1635564,1000,Personal,86946,0,0,30,None,6,1,27,No
2023,P202300168,22,Female,Nairobi,Commercial,7,2010209,2000,Business,89897,1,631100,0,Weather,6,1,2,Yes
2023,P202300169,67,Male,Kakamega,Private,8,605228,2000,Business,18203,0,0,50,None,6,1,47,No
2023,P202300170,57,Male,Mombasa,Private,6,548874,3000,Business,22548,1,272800,0,Theft,12,0,37,No
2023,P202300171,49,Male,Kisumu,Private,6,1116529,2500,Personal,39757,0,0,30,None,6,1,30,Yes
2023,P202300172,51,Male,Meru,Private,12,1623994,1000,Business,99525,0,0,50,None,6,0,32,Yes
2023,P202300173,43,Male,Nakuru,Private,12,2855874,2000,Business,192343,1,1650300,0,Collision,6,0,22,Yes
2023,P202300174,34,Male,Nairobi,Commercial,4,4868316,2500,Personal,147192,0,0,30,None,6,1,16,Yes
2023,P202300175,31,Female,Nakuru,Motorcycle,16,123609,1000,Personal,4380,0,0,20,None,6,0,12,No
2023,P202300176,69,Male,Eldoret,Private,13,1663950,3000,Personal,59811,0,0,10,None,12,0,48,Yes
2023,P202300177,31,Female,Kisumu,Private,6,1343804,2000,Personal,93051,1,661100,0,Weather,6,0,12,Yes
2023,P202300178,53,Male,Eldoret,Private,13,732732,2500,Business,30759,0,0,20,None,12,0,31,No
2023,P202300179,48,Male,Nakuru,Private,10,785555,1500,Business,44330,1,66200,0,Theft,6,2,26,Yes
2023,P202300180,40,Female,Nakuru,Private,14,1073189,2000,Personal,51185,0,0,50,None,12,1,19,No
2023,P202300181,57,Female,Meru,PSV,14,1919484,2000,Personal,92804,0,0,10,None,6,0,36,No
2023,P202300182,37,Male,Eldoret,Commercial,14,4361963,2000,Personal,238835,1,2274000,0,Theft,6,1,18,No
2023,P202300183,26,Female,Mombasa,Private,2,2155743,2500,Personal,85172,0,0,30,None,6,1,8,Yes
2023,P202300184,49,Male,Kisumu,Private,13,1297968,2500,Business,88898,0,0,10,None,6,0,31,No
2023,P202300185,41,Male,Eldoret,Commercial,1,3738199,2000,Personal,117173,1,1044700,0,Collision,6,0,22,Yes
2023,P202300186,65,Female,Nakuru,Private,14,2265982,2000,Personal,148182,1,1061400,0,Collision,12,0,45,No
2023,P202300187,43,Female,Kisumu,Commercial,8,2236536,2500,Personal,107752,1,18100,0,Weather,12,0,24,Yes
2023,P202300188,52,Female,Mombasa,Motorcycle,0,162360,3000,Personal,6311,0,0,10,None,6,1,33,No
2023,P202300189,57,Male,Thika,Private,6,550861,1500,Personal,17959,1,59500,0,Theft,12,0,37,No
2023,P202300190,22,Female,Nakuru,Private,5,715048,1000,Taxi,32803,0,0,30,None,6,0,3,No
2023,P202300191,31,Male,Kisumu,PSV,7,1364359,1500,Personal,74755,0,0,30,None,6,1,11,Yes
2023,P202300192,39,Male,Kisumu,Commercial,15,3881091,1500,Business,248689,1,99700,0,Weather,12,0,19,No
2023,P202300193,37,Female,Nakuru,Private,11,641398,2500,Personal,34358,0,0,20,None,6,1,16,No
2023,P202300194,64,Male,Kisumu,PSV,7,3731638,3000,Taxi,138230,0,0,20,None,6,0,45,Yes
2023,P202300195,25,Female,Thika,PSV,17,2217060,1000,Business,80650,0,0,50,None,12,0,5,Yes
2023,P202300196,54,Female,Eldoret,Commercial,14,3414150,2500,Personal,158590,0,0,20,None,12,1,33,Yes
2023,P202300197,56,Female,Mombasa,Private,3,1126045,2500,Personal,66820,0,0,30,None,12,0,36,No
2023,P202300198,51,Male,Meru,Private,8,1096387,1500,Taxi,66973,1,575200,0,Weather,6,1,32,Yes
2023,P202300199,31,Male,Eldoret,Private,2,760116,1000,Taxi,35941,0,0,50,None,12,0,12,Yes
2023,P202300200,63,Male,Nakuru,Commercial,13,3771981,1500,Personal,220321,0,0,30,None,6,1,42,No
2023,P202300201,66,Female,Thika,Private,13,1225495,1000,Business,44332,0,0,30,None,6,0,48,Yes
2023,P202300202,44,Female,Thika,PSV,1,3423970,3000,Taxi,141583,0,0,50,None,12,0,23,No
2023,P202300203,55,Female,Meru,Private,12,1784382,2000,Business,55807,1,357600,0,Weather,12,0,34,Yes
2023,P202300204,49,Male,Meru,Private,8,1459744,3000,Personal,55126,0,0,20,None,6,0,31,No
2023,P202300205,39,Female,Kisumu,Commercial,10,1117348,3000,Personal,69324,0,0,20,None,6,1,18,No
2023,P202300206,66,Female,Meru,Private,14,2746533,2500,Personal,101168,0,0,50,None,12,0,47,No
2023,P202300207,28,Female,Nairobi,Private,4,853299,1500,Business,30392,0,0,20,None,6,0,6,No
2023,P202300208,24,Male,Meru,PSV,0,2713136,2000,Personal,171829,0,0,30,None,6,0,2,No
2023,P202300209,69,Male,Mombasa,Commercial,10,3548385,1000,Personal,192569,0,0,50,None,6,1,49,No
2023,P202300210,69,Female,Kakamega,Private,11,579141,2500,Taxi,24899,0,0,50,None,12,0,48,Yes
2023,P202300211,35,Female,Meru,Private,17,2548891,1500,Taxi,145070,0,0,30,None,6,0,13,No
2023,P202300212,51,Female,Nakuru,Motorcycle,5,218452,1500,Business,10133,0,0,10,None,12,1,32,No
2023,P202300213,37,Male,Thika,Commercial,16,4231961,1000,Business,167640,0,0,20,None,12,1,19,Yes
2023,P202300214,20,Male,Nakuru,Private,18,2414142,3000,Personal,166391,0,0,50,None,12,0,1,Yes
2023,P202300215,21,Male,Mombasa,Private,17,2483167,1000,Personal,116249,2,139400,0,Collision,12,0,1,No
2023,P202300216,23,Male,Mombasa,Private,1,2829701,2500,Business,123995,0,0,30,None,12,1,5,No
2023,P202300217,42,Female,Thika,Commercial,18,3687296,1000,Personal,208006,0,0,10,None,6,0,23,Yes
2023,P202300218,26,Male,Kakamega,Private,14,1164468,2000,Business,59777,0,0,30,None,12,0,8,No
2023,P202300219,51,Female,Eldoret,PSV,16,1358690,2500,Business,65161,0,0,30,None,12,0,32,Yes
2023,P202300220,21,Female,Nairobi,Motorcycle,13,127576,2000,Personal,6471,0,0,10,None,6,2,1,No
2023,P202300221,45,Male,Nairobi,Motorcycle,11,71636,1500,Taxi,3690,0,0,50,None,12,0,24,Yes
2023,P202300222,34,Female,Eldoret,Motorcycle,10,208038,1500,Business,6246,1,103500,0,Collision,6,0,12,Yes
2023,P202300223,34,Male,Meru,Commercial,3,4417556,3000,Personal,137330,0,0,20,None,12,0,12,Yes
2023,P202300224,23,Female,Kakamega,Private,15,1248013,2000,Personal,56265,1,437100,0,Theft,12,0,4,No
2023,P202300225,21,Male,Nairobi,Private,16,1198956,2500,Personal,81359,1,93000,0,Weather,6,1,3,Yes
2023,P202300226,61,Male,Eldoret,Private,9,655683,2500,Business,38467,0,0,20,None,6,1,39,Yes
2023,P202300227,61,Female,Thika,Commercial,14,1794170,3000,Personal,102197,0,0,10,None,6,1,43,Yes
2023,P202300228,45,Female,Mombasa,Private,8,1021998,1500,Personal,49931,0,0,50,None,12,0,26,Yes
2023,P202300229,27,Female,Kakamega,Private,15,2829753,2000,Personal,102089,1,1397600,0,Weather,12,0,8,Yes
2023,P202300230,44,Male,Eldoret,Motorcycle,17,131571,1500,Personal,4830,0,0,50,None,12,0,26,Yes
2023,P202300231,54,Male,Kakamega,Motorcycle,11,67633,1000,Business,2482,0,0,10,None,12,0,32,No
2023,P202300232,34,Male,Nairobi,PSV,2,3786267,2000,Personal,159332,0,0,30,None,12,0,12,Yes
2023,P202300233,44,Female,Kakamega,Private,1,1042015,2000,Taxi,40966,0,0,10,None,6,0,25,Yes
2023,P202300234,58,Male,Mombasa,Commercial,8,1642186,2500,Business,83482,1,335600,0,Speeding,6,1,37,Yes
2023,P202300235,59,Male,Kisumu,Private,4,704451,2000,Business,29252,0,0,30,None,6,0,41,No
2023,P202300236,58,Male,Kakamega,Motorcycle,3,166492,1000,Personal,8817,1,11600,0,Weather,6,0,39,No
2023,P202300237,22,Male,Eldoret,Private,11,993948,1500,Personal,42403,0,0,20,None,6,0,1,No
2023,P202300238,21,Male,Eldoret,Private,5,1213936,2000,Personal,73882,1,48500,0,Collision,6,0,1,No
2023,P202300239,24,Female,Thika,Commercial,12,1635036,1000,Personal,56745,0,0,30,None,12,0,6,Yes
2023,P202300240,35,Female,Nakuru,Private,11,808623,2500,Personal,24970,1,188700,0,Theft,6,0,15,Yes
2023,P202300241,59,Male,Nairobi,Private,4,1544327,2500,Personal,80913,0,0,50,None,12,0,38,No
2023,P202300242,25,Female,Meru,PSV,17,2664742,1000,Personal,168275,0,0,20,None,12,0,4,No
2023,P202300243,53,Male,Eldoret,Private,13,2482243,1000,Business,157150,0,0,50,None,12,0,35,No
